epoch | loss | sim_loss | var_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_feat_std | val_feat_norm
1 | 9.2927 | 0.0062 | 0.3715 | 0.7969 | 22.4299 | 12.0999 | 0.0044 | 0.4838 | 0.3676 | 33.0450
2 | 8.4204 | 0.0033 | 0.3367 | 1.0754 | 37.2048 | 11.7237 | 0.0020 | 0.4689 | 0.4899 | 33.2725
3 | 6.9020 | 0.0013 | 0.2760 | 0.8961 | 30.1722 | 9.1275 | 0.0007 | 0.3651 | 0.4996 | 30.9632
4 | 6.3990 | 0.0007 | 0.2559 | 0.9941 | 31.2216 | 11.1641 | 0.0004 | 0.4465 | 0.6560 | 31.9570
5 | 6.8542 | 0.0006 | 0.2741 | 1.2500 | 29.7578 | 12.9350 | 0.0004 | 0.5174 | 0.8769 | 28.9236
6 | 6.5597 | 0.0006 | 0.2624 | 1.4200 | 29.2122 | 13.3467 | 0.0004 | 0.5339 | 0.9617 | 29.8645
7 | 6.0345 | 0.0005 | 0.2414 | 1.5320 | 30.3994 | 13.9135 | 0.0004 | 0.5565 | 1.0477 | 31.2834
8 | 5.3584 | 0.0005 | 0.2143 | 1.6546 | 31.9759 | 12.8745 | 0.0004 | 0.5150 | 1.1822 | 33.0219
9 | 4.9909 | 0.0005 | 0.1996 | 1.7930 | 33.8407 | 12.4326 | 0.0004 | 0.4973 | 1.3154 | 36.0572
10 | 4.9029 | 0.0005 | 0.1961 | 1.9158 | 36.0745 | 12.7147 | 0.0003 | 0.5086 | 1.3956 | 38.7288
11 | 4.8911 | 0.0005 | 0.1956 | 2.0185 | 37.8456 | 12.3964 | 0.0003 | 0.4958 | 1.4582 | 39.3943
12 | 4.7286 | 0.0004 | 0.1891 | 2.0603 | 38.4003 | 12.8003 | 0.0003 | 0.5120 | 1.4691 | 39.3921
13 | 4.6712 | 0.0004 | 0.1868 | 2.0990 | 39.0376 | 12.6664 | 0.0003 | 0.5066 | 1.5035 | 40.1096
14 | 4.6859 | 0.0004 | 0.1874 | 2.1240 | 39.4900 | 13.1178 | 0.0003 | 0.5247 | 1.5087 | 40.8916
15 | 4.7551 | 0.0004 | 0.1902 | 2.1816 | 40.5368 | 13.0897 | 0.0003 | 0.5236 | 1.5739 | 42.1019
16 | 4.6349 | 0.0004 | 0.1854 | 2.2335 | 41.3400 | 13.0614 | 0.0003 | 0.5224 | 1.5990 | 42.5513
17 | 4.5965 | 0.0004 | 0.1838 | 2.2952 | 42.6592 | 12.8943 | 0.0003 | 0.5158 | 1.6404 | 43.2786
18 | 4.5772 | 0.0004 | 0.1831 | 2.3285 | 43.2353 | 12.4767 | 0.0003 | 0.4991 | 1.7017 | 45.4349
19 | 4.6942 | 0.0004 | 0.1878 | 2.4343 | 45.2371 | 12.5650 | 0.0003 | 0.5026 | 1.7436 | 46.3480
20 | 4.5764 | 0.0004 | 0.1830 | 2.4283 | 45.2496 | 12.4091 | 0.0003 | 0.4964 | 1.7632 | 46.4470
21 | 4.6340 | 0.0003 | 0.1853 | 2.4611 | 46.0058 | 12.7980 | 0.0003 | 0.5119 | 1.7739 | 47.2163
22 | 4.5778 | 0.0003 | 0.1831 | 2.5199 | 47.1021 | 12.7038 | 0.0003 | 0.5081 | 1.8036 | 47.9945
23 | 4.6806 | 0.0003 | 0.1872 | 2.5524 | 47.8816 | 12.3153 | 0.0003 | 0.4926 | 1.8748 | 50.9244
24 | 4.7497 | 0.0003 | 0.1900 | 2.6521 | 49.9741 | 12.3704 | 0.0003 | 0.4948 | 1.8937 | 50.6770
25 | 4.6735 | 0.0003 | 0.1869 | 2.6756 | 50.3767 | 12.5464 | 0.0002 | 0.5018 | 1.9147 | 51.6803
26 | 4.7302 | 0.0003 | 0.1892 | 2.7087 | 51.0757 | 12.0517 | 0.0003 | 0.4821 | 1.9824 | 53.8465
27 | 4.8535 | 0.0003 | 0.1941 | 2.7871 | 52.6646 | 11.9766 | 0.0003 | 0.4791 | 2.0424 | 54.7448
28 | 4.8263 | 0.0003 | 0.1930 | 2.8177 | 53.2340 | 12.2435 | 0.0003 | 0.4897 | 2.0160 | 54.2998
29 | 4.9427 | 0.0003 | 0.1977 | 2.8380 | 53.5682 | 12.7073 | 0.0002 | 0.5083 | 2.0171 | 54.6218
30 | 4.8652 | 0.0003 | 0.1946 | 2.9225 | 55.2815 | 12.2962 | 0.0002 | 0.4918 | 2.0875 | 56.7542
31 | 5.0491 | 0.0003 | 0.2020 | 2.9382 | 55.6682 | 12.2046 | 0.0002 | 0.4882 | 2.1200 | 57.0460
32 | 5.1506 | 0.0003 | 0.2060 | 3.0014 | 56.9680 | 12.1596 | 0.0002 | 0.4864 | 2.1799 | 58.9298
33 | 5.2144 | 0.0003 | 0.2086 | 3.0411 | 57.6908 | 12.1982 | 0.0002 | 0.4879 | 2.1979 | 59.5471
34 | 5.2425 | 0.0003 | 0.2097 | 3.0786 | 58.5287 | 12.4505 | 0.0002 | 0.4980 | 2.1990 | 59.5132
35 | 5.4477 | 0.0003 | 0.2179 | 3.1008 | 58.7833 | 12.3570 | 0.0002 | 0.4943 | 2.2416 | 60.6529
36 | 5.6130 | 0.0003 | 0.2245 | 3.1614 | 59.9477 | 12.1599 | 0.0002 | 0.4864 | 2.3140 | 63.0080
37 | 5.4566 | 0.0003 | 0.2183 | 3.2403 | 61.4465 | 12.0276 | 0.0002 | 0.4811 | 2.3562 | 64.0956
38 | 5.5817 | 0.0003 | 0.2233 | 3.2878 | 62.4403 | 12.1366 | 0.0002 | 0.4855 | 2.3819 | 65.4687
39 | 5.4154 | 0.0003 | 0.2166 | 3.3550 | 64.1521 | 12.0159 | 0.0002 | 0.4806 | 2.4050 | 65.2745
40 | 5.4758 | 0.0003 | 0.2190 | 3.3833 | 64.3274 | 12.5043 | 0.0002 | 0.5002 | 2.3940 | 64.9447
41 | 5.5891 | 0.0003 | 0.2236 | 3.3963 | 64.3479 | 12.4863 | 0.0002 | 0.4994 | 2.4192 | 66.3468
42 | 5.6853 | 0.0003 | 0.2274 | 3.4347 | 65.4145 | 12.6238 | 0.0002 | 0.5049 | 2.4429 | 66.8345
43 | 5.6984 | 0.0003 | 0.2279 | 3.4912 | 66.4373 | 12.3727 | 0.0002 | 0.4949 | 2.5070 | 69.7030
44 | 5.7520 | 0.0003 | 0.2301 | 3.5763 | 68.1315 | 12.4917 | 0.0002 | 0.4997 | 2.5129 | 69.2184
45 | 5.6818 | 0.0003 | 0.2273 | 3.6106 | 68.8094 | 12.3219 | 0.0002 | 0.4929 | 2.5654 | 70.5712
46 | 5.6652 | 0.0003 | 0.2266 | 3.6634 | 69.8132 | 12.1415 | 0.0002 | 0.4857 | 2.6065 | 72.4263
47 | 5.8828 | 0.0003 | 0.2353 | 3.6998 | 70.5159 | 12.1844 | 0.0002 | 0.4874 | 2.6035 | 72.9952
48 | 5.6905 | 0.0003 | 0.2276 | 3.7304 | 71.6967 | 12.1505 | 0.0002 | 0.4860 | 2.6112 | 73.9498
