epoch | loss | sim_loss | var_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_feat_std | val_feat_norm
1 | 8.5346 | 0.0049 | 0.3412 | 0.7801 | 29.0745 | 8.0752 | 0.0028 | 0.3229 | 0.3215 | 33.3195
2 | 5.9985 | 0.0014 | 0.2399 | 0.8777 | 31.8124 | 9.0818 | 0.0004 | 0.3633 | 0.4162 | 32.8563
3 | 5.3990 | 0.0007 | 0.2159 | 1.4116 | 34.5023 | 12.8690 | 0.0004 | 0.5147 | 0.9580 | 33.9047
4 | 3.8214 | 0.0005 | 0.1528 | 1.7222 | 34.2109 | 13.1718 | 0.0003 | 0.5269 | 1.1486 | 36.5408
5 | 4.0766 | 0.0004 | 0.1630 | 1.8174 | 34.8889 | 14.6318 | 0.0002 | 0.5853 | 1.1905 | 36.0991
6 | 4.3869 | 0.0004 | 0.1755 | 1.9152 | 36.2932 | 15.0886 | 0.0003 | 0.6035 | 1.3611 | 41.4265
7 | 4.6968 | 0.0004 | 0.1879 | 2.1484 | 40.0910 | 15.2920 | 0.0002 | 0.6117 | 1.3891 | 40.0602
8 | 5.2212 | 0.0003 | 0.2088 | 2.2033 | 40.7501 | 15.2711 | 0.0002 | 0.6108 | 1.4918 | 42.4198
9 | 5.4910 | 0.0003 | 0.2196 | 2.2911 | 42.1059 | 15.4171 | 0.0002 | 0.6167 | 1.5603 | 44.3109
10 | 5.6299 | 0.0003 | 0.2252 | 2.4038 | 44.0885 | 14.6041 | 0.0002 | 0.5842 | 1.7125 | 47.3697
11 | 5.8175 | 0.0003 | 0.2327 | 2.5535 | 47.1389 | 14.8069 | 0.0002 | 0.5923 | 1.7559 | 48.9470
12 | 5.7145 | 0.0003 | 0.2286 | 2.6731 | 49.4444 | 14.5878 | 0.0002 | 0.5835 | 1.8284 | 51.2299
13 | 5.7904 | 0.0003 | 0.2316 | 2.7858 | 51.7434 | 14.4550 | 0.0002 | 0.5782 | 1.9084 | 53.9094
14 | 6.0915 | 0.0003 | 0.2436 | 2.9211 | 54.7708 | 13.5580 | 0.0002 | 0.5423 | 2.0033 | 56.1880
15 | 5.9614 | 0.0003 | 0.2384 | 2.9979 | 56.6859 | 13.7085 | 0.0002 | 0.5483 | 2.0657 | 59.0714
16 | 6.1545 | 0.0003 | 0.2462 | 3.1033 | 59.0496 | 13.3709 | 0.0002 | 0.5348 | 2.1528 | 63.4248
17 | 6.1132 | 0.0003 | 0.2445 | 3.2758 | 62.1088 | 13.9990 | 0.0002 | 0.5600 | 2.2041 | 63.8818
18 | 6.2637 | 0.0003 | 0.2505 | 3.3779 | 63.7544 | 13.5335 | 0.0002 | 0.5413 | 2.3241 | 68.5010
19 | 6.4177 | 0.0003 | 0.2567 | 3.5018 | 66.2367 | 14.0298 | 0.0002 | 0.5612 | 2.3470 | 69.8041
20 | 6.5188 | 0.0003 | 0.2607 | 3.6224 | 68.3831 | 13.8774 | 0.0002 | 0.5551 | 2.4324 | 72.2509
21 | 6.4199 | 0.0003 | 0.2568 | 3.7315 | 71.0792 | 13.9901 | 0.0002 | 0.5596 | 2.4811 | 74.3622
22 | 6.4563 | 0.0003 | 0.2582 | 3.8656 | 73.6163 | 14.0277 | 0.0002 | 0.5611 | 2.5091 | 75.6505
23 | 6.5315 | 0.0003 | 0.2612 | 3.8732 | 74.6040 | 13.6104 | 0.0002 | 0.5444 | 2.5680 | 77.7796
24 | 6.6030 | 0.0003 | 0.2641 | 3.9397 | 75.9757 | 13.1415 | 0.0002 | 0.5257 | 2.6770 | 79.3963
25 | 6.7236 | 0.0003 | 0.2689 | 4.0137 | 77.7651 | 13.0382 | 0.0002 | 0.5215 | 2.7045 | 81.3980
26 | 6.7765 | 0.0003 | 0.2711 | 4.0829 | 79.4143 | 12.9943 | 0.0002 | 0.5198 | 2.7878 | 82.3402
27 | 6.7007 | 0.0003 | 0.2680 | 4.1725 | 81.3761 | 13.1777 | 0.0002 | 0.5271 | 2.8014 | 84.3991
28 | 6.6438 | 0.0003 | 0.2657 | 4.2842 | 83.4206 | 12.8340 | 0.0002 | 0.5134 | 2.8958 | 86.3196
29 | 6.8534 | 0.0003 | 0.2741 | 4.3076 | 84.0910 | 12.9938 | 0.0002 | 0.5197 | 2.9231 | 87.0989
30 | 6.7373 | 0.0003 | 0.2695 | 4.4124 | 86.3807 | 12.9993 | 0.0002 | 0.5200 | 3.0327 | 90.0829
31 | 6.8287 | 0.0003 | 0.2731 | 4.5105 | 88.0835 | 12.6700 | 0.0002 | 0.5068 | 3.0705 | 91.3931
32 | 7.0799 | 0.0003 | 0.2832 | 4.5682 | 89.1369 | 13.1629 | 0.0002 | 0.5265 | 3.0669 | 92.3484
33 | 7.1899 | 0.0003 | 0.2876 | 4.6200 | 90.8328 | 13.1462 | 0.0002 | 0.5258 | 3.0815 | 94.0308
34 | 7.2923 | 0.0003 | 0.2917 | 4.6548 | 91.5552 | 13.1768 | 0.0002 | 0.5271 | 3.1464 | 94.6245
35 | 7.3477 | 0.0003 | 0.2939 | 4.7596 | 93.2914 | 13.8593 | 0.0002 | 0.5544 | 3.1106 | 94.1719
36 | 7.4565 | 0.0003 | 0.2982 | 4.7530 | 93.3450 | 13.4930 | 0.0002 | 0.5397 | 3.1357 | 95.6283
37 | 7.5130 | 0.0003 | 0.3005 | 4.7662 | 93.5861 | 13.9935 | 0.0002 | 0.5597 | 3.1395 | 96.1790
