epoch | loss | sim_loss | var_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_feat_std | val_feat_norm
1 | 9.5168 | 0.0060 | 0.3804 | 0.9558 | 22.7484 | 15.9136 | 0.0044 | 0.6364 | 0.5090 | 33.8586
2 | 8.6737 | 0.0030 | 0.3468 | 1.4073 | 38.2058 | 12.5325 | 0.0019 | 0.5012 | 0.4141 | 32.9652
3 | 6.7505 | 0.0014 | 0.2700 | 0.9031 | 29.1259 | 9.7973 | 0.0007 | 0.3919 | 0.5083 | 28.3066
4 | 6.2042 | 0.0007 | 0.2481 | 0.9640 | 28.6855 | 11.9736 | 0.0004 | 0.4789 | 0.6166 | 29.7689
5 | 6.8238 | 0.0006 | 0.2729 | 1.2398 | 28.9499 | 12.9469 | 0.0004 | 0.5179 | 0.8151 | 28.8736
6 | 6.4622 | 0.0006 | 0.2585 | 1.3793 | 29.1468 | 12.9196 | 0.0004 | 0.5168 | 0.9104 | 27.9270
7 | 5.8066 | 0.0005 | 0.2322 | 1.4845 | 29.7572 | 12.7524 | 0.0004 | 0.5101 | 1.0103 | 29.6518
8 | 5.2252 | 0.0005 | 0.2090 | 1.6013 | 31.0842 | 12.9726 | 0.0003 | 0.5189 | 1.0878 | 31.5184
9 | 4.8159 | 0.0004 | 0.1926 | 1.6794 | 31.8651 | 12.6649 | 0.0003 | 0.5066 | 1.1933 | 34.3793
10 | 5.3947 | 0.0004 | 0.2158 | 1.7840 | 34.0182 | 13.9886 | 0.0003 | 0.5595 | 1.1987 | 35.2750
11 | 5.0548 | 0.0004 | 0.2022 | 1.8650 | 34.7128 | 14.1938 | 0.0003 | 0.5677 | 1.2282 | 35.1440
12 | 4.8563 | 0.0004 | 0.1942 | 1.8778 | 34.6126 | 14.3624 | 0.0003 | 0.5745 | 1.2735 | 37.9596
13 | 5.5562 | 0.0004 | 0.2222 | 1.9742 | 36.7633 | 13.8583 | 0.0003 | 0.5543 | 1.3311 | 37.7330
14 | 5.0410 | 0.0004 | 0.2016 | 2.0103 | 37.0657 | 14.1445 | 0.0003 | 0.5658 | 1.3554 | 38.2582
