epoch | loss | sim_loss | var_loss | cov_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_cov_loss | val_feat_std | val_feat_norm
1 | 38.6491 | 0.2876 | 0.8741 | 9.6057 | 0.5980 | 15.0528 | 43.4492 | 0.2332 | 1.2045 | 7.5069 | 0.4056 | 16.2728
2 | 33.0948 | 0.2822 | 0.8988 | 3.5693 | 0.6508 | 16.0697 | 45.6685 | 0.2320 | 1.1815 | 10.3300 | 0.4423 | 16.6301
3 | 32.0549 | 0.2849 | 0.8507 | 3.6643 | 0.6757 | 16.1044 | 45.6930 | 0.2172 | 1.1850 | 10.6364 | 0.4337 | 16.5093
4 | 31.5966 | 0.2893 | 0.8308 | 3.5943 | 0.6846 | 16.1538 | 46.1727 | 0.2222 | 1.1535 | 11.7805 | 0.4480 | 16.4875
5 | 31.0312 | 0.2987 | 0.7963 | 3.6551 | 0.6958 | 16.1149 | 47.8283 | 0.2341 | 1.1515 | 13.1890 | 0.4607 | 16.4383
6 | 30.7569 | 0.3155 | 0.7431 | 4.2910 | 0.7151 | 15.9015 | 48.5634 | 0.2424 | 1.1037 | 14.9102 | 0.4691 | 16.1197
7 | 30.1948 | 0.3340 | 0.6723 | 5.0371 | 0.7366 | 15.6375 | 50.1832 | 0.2558 | 1.0579 | 17.3407 | 0.4977 | 16.1038
8 | 30.0625 | 0.3546 | 0.6236 | 5.6062 | 0.7500 | 15.4411 | 50.5954 | 0.2655 | 1.0263 | 18.3024 | 0.5012 | 15.8836
9 | 29.7747 | 0.3647 | 0.5910 | 5.8803 | 0.7585 | 15.3713 | 50.1815 | 0.2699 | 1.0012 | 18.4032 | 0.5089 | 15.7811
10 | 29.3956 | 0.3717 | 0.5489 | 6.3809 | 0.7691 | 15.3101 | 51.0592 | 0.2662 | 0.9752 | 20.0242 | 0.5203 | 15.7793
11 | 29.2391 | 0.3800 | 0.5293 | 6.5067 | 0.7742 | 15.2814 | 49.9942 | 0.2619 | 0.9521 | 19.6448 | 0.5167 | 15.7391
