epoch | loss | sim_loss | var_pred | var_target | cov_pred | cov_target | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_cov_pred | val_cov_target | val_feat_std | val_feat_std_ctx | val_feat_norm
1 | 12.6961 | 0.4508 | 0.8725 | 0.3539 | 50.3667 | 59.0793 | 0.1271 | 0.6807 | 3.7201 | 17.6426 | 0.4497 | 0.8765 | 0.4137 | 48.8275 | 109.4973 | 0.1231 | 0.6307 | 3.6452
2 | 12.6979 | 0.4462 | 0.8782 | 0.3115 | 36.5649 | 73.4185 | 0.1214 | 0.7380 | 3.5187 | 16.5431 | 0.4410 | 0.8933 | 0.4503 | 38.3730 | 108.6589 | 0.1061 | 0.5642 | 3.3478
3 | 8.2779 | 0.4364 | 0.9026 | 0.5093 | 18.4545 | 45.3509 | 0.0968 | 0.4894 | 3.2084 | 14.9894 | 0.4302 | 0.9433 | 0.8040 | 37.4425 | 90.2617 | 0.0557 | 0.1912 | 3.0372
4 | 4.2056 | 0.4086 | 0.9231 | 0.7966 | 4.3234 | 16.0634 | 0.0762 | 0.2028 | 2.9616 | 17.3349 | 0.3697 | 0.9748 | 0.9171 | 38.2094 | 112.1985 | 0.0227 | 0.0827 | 2.8016
5 | 4.1118 | 0.3446 | 0.9146 | 0.8249 | 2.0118 | 17.7797 | 0.0848 | 0.1789 | 3.1926 | 21.1284 | 0.3139 | 0.9760 | 0.8403 | 35.0188 | 154.4077 | 0.0215 | 0.1671 | 3.3563
6 | 9.7473 | 0.3410 | 0.8658 | 0.7115 | 1.6340 | 75.9794 | 0.1338 | 0.2973 | 3.5962 | 24.2084 | 0.3007 | 0.9525 | 0.6861 | 35.3079 | 186.5971 | 0.0463 | 0.3252 | 3.8037
7 | 14.0886 | 0.3654 | 0.8042 | 0.5764 | 1.3919 | 121.1452 | 0.1956 | 0.4432 | 3.9766 | 26.3898 | 0.2879 | 0.9256 | 0.5477 | 38.4586 | 206.6780 | 0.0736 | 0.4810 | 4.3888
8 | 16.4501 | 0.3751 | 0.7886 | 0.4793 | 1.2679 | 145.8781 | 0.2112 | 0.5591 | 4.0380 | 27.6834 | 0.2941 | 0.9126 | 0.4728 | 43.6821 | 215.2354 | 0.0868 | 0.5726 | 4.3471
9 | 14.4132 | 0.3857 | 0.7823 | 0.3836 | 1.2288 | 126.4912 | 0.2175 | 0.6688 | 3.9911 | 22.7313 | 0.3184 | 0.9037 | 0.4752 | 40.7665 | 168.6866 | 0.0958 | 0.5560 | 3.9767
10 | 11.4307 | 0.3923 | 0.7784 | 0.2976 | 1.2288 | 97.5324 | 0.2214 | 0.7545 | 3.9361 | 21.1798 | 0.3257 | 0.9013 | 0.5194 | 39.0877 | 154.4999 | 0.0982 | 0.5038 | 3.7268
11 | 10.6246 | 0.3961 | 0.7755 | 0.2626 | 1.2309 | 89.8176 | 0.2243 | 0.7972 | 3.9217 | 18.5464 | 0.3340 | 0.8998 | 0.5307 | 36.9316 | 130.2656 | 0.0997 | 0.4919 | 3.4881
12 | 8.7290 | 0.3996 | 0.7727 | 0.2216 | 1.2332 | 71.2652 | 0.2272 | 0.8405 | 3.9183 | 16.7324 | 0.3384 | 0.8963 | 0.4968 | 35.7217 | 113.7622 | 0.1032 | 0.5301 | 3.2867
13 | 7.1934 | 0.4002 | 0.7702 | 0.1863 | 1.2365 | 56.2748 | 0.2296 | 0.8733 | 3.9206 | 15.8293 | 0.3383 | 0.8923 | 0.4491 | 35.8395 | 105.1889 | 0.1072 | 0.5827 | 3.1575
14 | 6.0087 | 0.3986 | 0.7682 | 0.1614 | 1.2389 | 44.7073 | 0.2316 | 0.8933 | 3.9272 | 15.2546 | 0.3365 | 0.8899 | 0.4130 | 36.3679 | 99.3602 | 0.1096 | 0.6215 | 3.0560
15 | 5.2083 | 0.3958 | 0.7666 | 0.1489 | 1.2412 | 36.8629 | 0.2333 | 0.9027 | 3.9405 | 14.8797 | 0.3343 | 0.8890 | 0.3983 | 37.4662 | 94.7191 | 0.1105 | 0.6374 | 2.9858
16 | 4.9100 | 0.3930 | 0.7648 | 0.1467 | 1.2433 | 33.9324 | 0.2351 | 0.9066 | 3.9612 | 14.6845 | 0.3327 | 0.8888 | 0.3961 | 38.7821 | 91.5071 | 0.1107 | 0.6392 | 2.9421
17 | 4.8775 | 0.3913 | 0.7631 | 0.1493 | 1.2441 | 33.6017 | 0.2367 | 0.9074 | 3.9835 | 14.4938 | 0.3324 | 0.8888 | 0.3958 | 39.7803 | 88.6211 | 0.1107 | 0.6404 | 2.9127
18 | 4.9127 | 0.3905 | 0.7617 | 0.1513 | 1.2443 | 33.9426 | 0.2381 | 0.9076 | 4.0040 | 14.3181 | 0.3325 | 0.8887 | 0.3932 | 40.4892 | 86.1878 | 0.1108 | 0.6432 | 2.8925
19 | 4.9121 | 0.3898 | 0.7605 | 0.1515 | 1.2445 | 33.9418 | 0.2393 | 0.9073 | 4.0230 | 14.1634 | 0.3328 | 0.8884 | 0.3891 | 40.8338 | 84.3434 | 0.1111 | 0.6466 | 2.8761
20 | 4.8724 | 0.3891 | 0.7594 | 0.1501 | 1.2450 | 33.5653 | 0.2404 | 0.9078 | 4.0402 | 14.0917 | 0.3329 | 0.8876 | 0.3833 | 41.1644 | 83.3646 | 0.1119 | 0.6524 | 2.8640
21 | 4.8173 | 0.3886 | 0.7583 | 0.1469 | 1.2457 | 33.0537 | 0.2415 | 0.9108 | 4.0547 | 13.9734 | 0.3330 | 0.8864 | 0.3765 | 41.4064 | 82.0237 | 0.1131 | 0.6609 | 2.8520
22 | 4.7608 | 0.3882 | 0.7573 | 0.1430 | 1.2465 | 32.5330 | 0.2426 | 0.9147 | 4.0662 | 13.9907 | 0.3331 | 0.8855 | 0.3685 | 41.8838 | 81.8120 | 0.1140 | 0.6692 | 2.8377
23 | 4.7092 | 0.3878 | 0.7564 | 0.1395 | 1.2473 | 32.0576 | 0.2435 | 0.9181 | 4.0764 | 14.0217 | 0.3333 | 0.8844 | 0.3608 | 42.1726 | 81.9257 | 0.1151 | 0.6787 | 2.8201
24 | 4.6650 | 0.3875 | 0.7556 | 0.1365 | 1.2481 | 31.6509 | 0.2443 | 0.9211 | 4.0857 | 14.0864 | 0.3334 | 0.8834 | 0.3545 | 42.7582 | 82.0612 | 0.1161 | 0.6866 | 2.8121
25 | 4.6229 | 0.3872 | 0.7548 | 0.1338 | 1.2486 | 31.2614 | 0.2450 | 0.9236 | 4.0934 | 14.0763 | 0.3335 | 0.8827 | 0.3495 | 42.8487 | 81.9302 | 0.1169 | 0.6916 | 2.8031
26 | 4.5743 | 0.3871 | 0.7542 | 0.1308 | 1.2492 | 30.8089 | 0.2456 | 0.9262 | 4.0995 | 14.0511 | 0.3336 | 0.8819 | 0.3459 | 43.0000 | 81.5721 | 0.1176 | 0.6951 | 2.7970
27 | 4.5203 | 0.3868 | 0.7536 | 0.1281 | 1.2497 | 30.2998 | 0.2463 | 0.9283 | 4.1061 | 14.0108 | 0.3336 | 0.8813 | 0.3435 | 43.1561 | 81.0438 | 0.1182 | 0.6978 | 2.7931
28 | 4.4618 | 0.3866 | 0.7531 | 0.1253 | 1.2503 | 29.7451 | 0.2468 | 0.9301 | 4.1119 | 13.9772 | 0.3337 | 0.8809 | 0.3423 | 43.2809 | 80.6003 | 0.1187 | 0.6976 | 2.7906
29 | 4.4030 | 0.3864 | 0.7526 | 0.1229 | 1.2507 | 29.1842 | 0.2473 | 0.9312 | 4.1181 | 13.9321 | 0.3336 | 0.8804 | 0.3413 | 43.5089 | 79.9362 | 0.1192 | 0.6982 | 2.7913
30 | 4.3433 | 0.3861 | 0.7521 | 0.1205 | 1.2513 | 28.6138 | 0.2477 | 0.9322 | 4.1239 | 13.8659 | 0.3336 | 0.8800 | 0.3407 | 43.5358 | 79.2573 | 0.1195 | 0.6976 | 2.7910
31 | 4.2842 | 0.3858 | 0.7517 | 0.1183 | 1.2518 | 28.0486 | 0.2481 | 0.9328 | 4.1299 | 13.7853 | 0.3336 | 0.8795 | 0.3406 | 43.4797 | 78.5122 | 0.1200 | 0.6969 | 2.7940
32 | 4.2225 | 0.3854 | 0.7513 | 0.1163 | 1.2523 | 27.4554 | 0.2486 | 0.9328 | 4.1363 | 13.7288 | 0.3333 | 0.8790 | 0.3405 | 43.5822 | 77.8525 | 0.1205 | 0.6959 | 2.7984
33 | 4.1631 | 0.3850 | 0.7509 | 0.1143 | 1.2529 | 26.8848 | 0.2490 | 0.9331 | 4.1424 | 13.6430 | 0.3331 | 0.8786 | 0.3402 | 43.4618 | 77.1232 | 0.1209 | 0.6945 | 2.8031
34 | 4.1034 | 0.3846 | 0.7505 | 0.1126 | 1.2534 | 26.3085 | 0.2494 | 0.9330 | 4.1484 | 13.5602 | 0.3328 | 0.8783 | 0.3406 | 43.3670 | 76.3903 | 0.1213 | 0.6928 | 2.8087
35 | 4.0465 | 0.3842 | 0.7501 | 0.1113 | 1.2539 | 25.7564 | 0.2498 | 0.9326 | 4.1542 | 13.4815 | 0.3325 | 0.8779 | 0.3411 | 43.2316 | 75.7377 | 0.1217 | 0.6916 | 2.8149
36 | 3.9919 | 0.3838 | 0.7498 | 0.1102 | 1.2542 | 25.2252 | 0.2501 | 0.9321 | 4.1596 | 13.4108 | 0.3322 | 0.8776 | 0.3424 | 43.1445 | 75.1073 | 0.1219 | 0.6886 | 2.8214
37 | 3.9422 | 0.3833 | 0.7494 | 0.1095 | 1.2547 | 24.7381 | 0.2504 | 0.9314 | 4.1649 | 13.3157 | 0.3320 | 0.8775 | 0.3436 | 42.9035 | 74.3880 | 0.1220 | 0.6858 | 2.8262
38 | 3.8942 | 0.3830 | 0.7491 | 0.1087 | 1.2550 | 24.2699 | 0.2507 | 0.9310 | 4.1697 | 13.2284 | 0.3317 | 0.8774 | 0.3449 | 42.7369 | 73.6712 | 0.1222 | 0.6834 | 2.8318
39 | 3.8494 | 0.3826 | 0.7489 | 0.1079 | 1.2554 | 23.8334 | 0.2510 | 0.9307 | 4.1739 | 13.1419 | 0.3315 | 0.8772 | 0.3462 | 42.5259 | 73.0051 | 0.1224 | 0.6811 | 2.8362
40 | 3.8080 | 0.3823 | 0.7486 | 0.1071 | 1.2558 | 23.4303 | 0.2513 | 0.9304 | 4.1781 | 13.0605 | 0.3314 | 0.8770 | 0.3474 | 42.3168 | 72.3900 | 0.1225 | 0.6785 | 2.8398
41 | 3.7701 | 0.3820 | 0.7483 | 0.1064 | 1.2561 | 23.0617 | 0.2515 | 0.9302 | 4.1816 | 12.9960 | 0.3313 | 0.8768 | 0.3478 | 42.2020 | 71.8577 | 0.1227 | 0.6775 | 2.8430
42 | 3.7340 | 0.3817 | 0.7481 | 0.1056 | 1.2564 | 22.7107 | 0.2518 | 0.9300 | 4.1850 | 12.9585 | 0.3311 | 0.8767 | 0.3483 | 42.2307 | 71.4504 | 0.1228 | 0.6758 | 2.8456
43 | 3.7011 | 0.3814 | 0.7479 | 0.1049 | 1.2567 | 22.3924 | 0.2520 | 0.9298 | 4.1882 | 12.9055 | 0.3310 | 0.8764 | 0.3482 | 42.1558 | 70.9987 | 0.1231 | 0.6753 | 2.8500
44 | 3.6693 | 0.3811 | 0.7476 | 0.1042 | 1.2570 | 22.0837 | 0.2522 | 0.9295 | 4.1913 | 12.8591 | 0.3308 | 0.8762 | 0.3484 | 42.0395 | 70.6534 | 0.1234 | 0.6745 | 2.8536
45 | 3.6394 | 0.3808 | 0.7474 | 0.1034 | 1.2574 | 21.7954 | 0.2524 | 0.9293 | 4.1943 | 12.8381 | 0.3306 | 0.8759 | 0.3481 | 42.1382 | 70.3515 | 0.1237 | 0.6743 | 2.8562
46 | 3.6116 | 0.3805 | 0.7472 | 0.1028 | 1.2576 | 21.5266 | 0.2526 | 0.9290 | 4.1973 | 12.8041 | 0.3303 | 0.8755 | 0.3476 | 42.2069 | 69.9509 | 0.1240 | 0.6741 | 2.8619
47 | 3.5848 | 0.3802 | 0.7470 | 0.1022 | 1.2579 | 21.2671 | 0.2528 | 0.9285 | 4.2001 | 12.7707 | 0.3300 | 0.8753 | 0.3472 | 42.1844 | 69.6477 | 0.1243 | 0.6741 | 2.8657
48 | 3.5584 | 0.3799 | 0.7469 | 0.1017 | 1.2584 | 21.0116 | 0.2530 | 0.9281 | 4.2029 | 12.7452 | 0.3297 | 0.8750 | 0.3467 | 42.2245 | 69.3613 | 0.1245 | 0.6737 | 2.8714
49 | 3.5324 | 0.3796 | 0.7467 | 0.1011 | 1.2584 | 20.7594 | 0.2532 | 0.9276 | 4.2055 | 12.7412 | 0.3294 | 0.8747 | 0.3463 | 42.3763 | 69.1774 | 0.1248 | 0.6732 | 2.8765
50 | 3.5096 | 0.3793 | 0.7465 | 0.1007 | 1.2588 | 20.5379 | 0.2533 | 0.9269 | 4.2083 | 12.7151 | 0.3292 | 0.8744 | 0.3460 | 42.2912 | 69.0083 | 0.1251 | 0.6730 | 2.8810
