epoch | loss | sim_loss | var_pred | var_target | var_ctx | cov_pred | cov_target | cov_ctx | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_var_ctx | val_cov_pred | val_cov_target | val_cov_ctx | val_feat_std | val_feat_std_ctx | val_feat_norm
1 | 65.1721 | 0.9908 | 0.9755 | 0.2008 | 0.1878 | 8.8767 | 6.2990 | 5.9854 | 0.0219 | 0.8363 | 0.9698 | 80.3804 | 0.9652 | 0.9854 | 0.3247 | 0.3147 | 15.9713 | 7.2123 | 6.9238 | 0.0088 | 0.7120 | 1.0517
2 | 40.8418 | 0.9890 | 0.9664 | 0.0299 | 0.0199 | 1.3428 | 2.1689 | 2.0324 | 0.0319 | 0.9960 | 1.0043 | 75.6031 | 0.9715 | 0.9826 | 0.2454 | 0.2351 | 18.7401 | 5.4440 | 5.1286 | 0.0129 | 0.8211 | 0.8416
3 | 36.0554 | 0.9985 | 0.9297 | 0.0120 | 0.0041 | 1.2057 | 0.6245 | 0.5968 | 0.0695 | 1.0158 | 0.8569 | 76.1498 | 0.9820 | 0.9676 | 0.2376 | 0.2236 | 21.7960 | 4.5897 | 4.2229 | 0.0301 | 0.8595 | 0.6244
4 | 32.9590 | 1.0247 | 0.8234 | 0.0108 | 0.0025 | 1.2897 | 0.2534 | 0.2524 | 0.1763 | 1.0227 | 1.4695 | 74.8789 | 0.9606 | 0.8306 | 0.2403 | 0.2225 | 24.8339 | 4.2466 | 3.8571 | 0.1691 | 0.8676 | 1.6849
5 | 30.4995 | 1.0687 | 0.7182 | 0.0106 | 0.0018 | 1.2421 | 0.1525 | 0.1532 | 0.2817 | 1.0271 | 2.2765 | 73.4754 | 0.9587 | 0.7594 | 0.2430 | 0.2221 | 25.4322 | 4.1352 | 3.7085 | 0.2404 | 0.8683 | 2.3190
6 | 28.9439 | 1.1160 | 0.6416 | 0.0105 | 0.0014 | 1.2286 | 0.1100 | 0.1100 | 0.3584 | 1.0307 | 2.8848 | 71.9546 | 0.9712 | 0.6884 | 0.2426 | 0.2196 | 25.6767 | 4.1239 | 3.6766 | 0.3119 | 0.8685 | 2.9590
7 | 27.5421 | 1.1770 | 0.5628 | 0.0104 | 0.0011 | 1.2379 | 0.0891 | 0.0888 | 0.4373 | 1.0336 | 3.5132 | 70.6110 | 1.0000 | 0.6175 | 0.2419 | 0.2178 | 25.9063 | 4.1203 | 3.6539 | 0.3861 | 0.8689 | 3.6245
8 | 26.2571 | 1.2517 | 0.4820 | 0.0105 | 0.0009 | 1.2505 | 0.0786 | 0.0781 | 0.5181 | 1.0358 | 4.1585 | 69.3022 | 1.0433 | 0.5471 | 0.2414 | 0.2148 | 26.0684 | 4.1037 | 3.6169 | 0.4630 | 0.8714 | 4.3105
9 | 25.0813 | 1.3409 | 0.3995 | 0.0104 | 0.0008 | 1.2630 | 0.0728 | 0.0724 | 0.6006 | 1.0378 | 4.8180 | 68.2060 | 1.0989 | 0.4814 | 0.2410 | 0.2141 | 26.1704 | 4.0795 | 3.5557 | 0.5400 | 0.8722 | 5.0032
10 | 24.0289 | 1.4444 | 0.3159 | 0.0104 | 0.0006 | 1.2747 | 0.0693 | 0.0689 | 0.6843 | 1.0394 | 5.4872 | 67.2847 | 1.1668 | 0.4204 | 0.2399 | 0.2112 | 26.2603 | 4.0416 | 3.5267 | 0.6187 | 0.8734 | 5.6971
11 | 23.1069 | 1.5619 | 0.2317 | 0.0105 | 0.0006 | 1.2844 | 0.0673 | 0.0669 | 0.7685 | 1.0407 | 6.1606 | 66.5346 | 1.2457 | 0.3629 | 0.2386 | 0.2092 | 26.3173 | 4.0054 | 3.4867 | 0.6967 | 0.8747 | 6.3885
12 | 22.3254 | 1.6903 | 0.1491 | 0.0104 | 0.0005 | 1.2898 | 0.0659 | 0.0656 | 0.8512 | 1.0419 | 6.8213 | 65.9535 | 1.3221 | 0.3108 | 0.2380 | 0.2079 | 26.3928 | 3.9713 | 3.4500 | 0.7681 | 0.8744 | 6.9810
13 | 21.7351 | 1.8174 | 0.0749 | 0.0106 | 0.0005 | 1.2831 | 0.0650 | 0.0647 | 0.9257 | 1.0427 | 7.4125 | 65.3792 | 1.3773 | 0.2678 | 0.2370 | 0.2074 | 26.4747 | 3.9320 | 3.3961 | 0.8225 | 0.8729 | 7.3851
14 | 21.3995 | 1.9077 | 0.0259 | 0.0107 | 0.0005 | 1.2701 | 0.0644 | 0.0642 | 0.9758 | 1.0432 | 7.8086 | 64.9503 | 1.3863 | 0.2516 | 0.2377 | 0.2055 | 26.5054 | 3.8653 | 3.3464 | 0.8439 | 0.8724 | 7.5350
15 | 21.3074 | 1.9257 | 0.0154 | 0.0108 | 0.0004 | 1.2587 | 0.0638 | 0.0636 | 0.9869 | 1.0436 | 7.8978 | 64.7323 | 1.3707 | 0.2544 | 0.2396 | 0.2064 | 26.4417 | 3.8063 | 3.2663 | 0.8408 | 0.8696 | 7.5021
16 | 21.2689 | 1.9239 | 0.0149 | 0.0108 | 0.0004 | 1.2484 | 0.0635 | 0.0631 | 0.9874 | 1.0440 | 7.9026 | 64.6326 | 1.3541 | 0.2611 | 0.2425 | 0.2083 | 26.3469 | 3.7349 | 3.2102 | 0.8335 | 0.8644 | 7.4387
17 | 21.2444 | 1.9224 | 0.0150 | 0.0109 | 0.0004 | 1.2373 | 0.0630 | 0.0627 | 0.9874 | 1.0443 | 7.9041 | 64.6388 | 1.3323 | 0.2713 | 0.2462 | 0.2122 | 26.2167 | 3.6971 | 3.1578 | 0.8218 | 0.8604 | 7.3688
18 | 21.2310 | 1.9220 | 0.0149 | 0.0110 | 0.0004 | 1.2266 | 0.0627 | 0.0622 | 0.9874 | 1.0445 | 7.9055 | 64.6831 | 1.3146 | 0.2822 | 0.2511 | 0.2163 | 26.0728 | 3.6259 | 3.0976 | 0.8092 | 0.8537 | 7.2956
19 | 21.2158 | 1.9214 | 0.0149 | 0.0112 | 0.0004 | 1.2161 | 0.0625 | 0.0619 | 0.9874 | 1.0447 | 7.9069 | 64.7524 | 1.3014 | 0.2920 | 0.2555 | 0.2188 | 25.9141 | 3.5951 | 3.0746 | 0.7974 | 0.8482 | 7.2170
